keywords,tokens
coastal biodiversity,['biodivers' 'coastal']
coastal buffer zones,['buffer' 'coastal' 'zone']
coastal california mountains,['coastal' 'mountain']
coastal change,['coastal']
coastal change hazards,['coastal' 'hazard']
coastal change impacts,['coastal' 'impact']
coastal cities,['citi' 'coastal']
coastal city,['citi' 'coastal']
coastal climate adaptation decision support tool,['adapt' 'climat' 'coastal' 'decis' 'support' 'tool']
coastal climate change adaptation cca,['adapt' 'cca' 'climat' 'coastal']
coastal climate hazards,['climat' 'coastal' 'hazard']
coastal communities,['coastal' 'communiti']
coastal community,['coastal' 'communiti']
coastal damage,['coastal']
coastal defenses,['coastal']
coastal degradation,['coastal']
coastal development,['coastal' 'develop']
coastal development projects,['coastal' 'develop' 'project']
coastal ecosystem degradation,['coastal' 'ecosystem']
coastal ecosystem group,['coastal' 'ecosystem' 'group']
coastal ecosystems,['coastal' 'ecosystem']
coastal engineering,['coastal' 'engin']
coastal engineering solutions,['coastal' 'engin']
coastal engineers,['coastal' 'engin']
coastal environmental management,['coastal' 'environment' 'manag']
coastal environments,['coastal' 'environ']
coastal erosion,['coastal' 'eros']
coastal estuaries,['coastal']
coastal experts,['coastal' 'expert']
coastal fishing communities,['coastal' 'communiti' 'fish']
coastal flood,['coastal' 'flood']
coastal flood adaptation,['adapt' 'coastal' 'flood']
coastal flood damage,['coastal' 'flood']
coastal flood hazard adaptation,['adapt' 'coastal' 'flood' 'hazard']
coastal flood modeling,['coastal' 'flood' 'model']
coastal flood risk,['coastal' 'flood' 'risk']
coastal flood risk assessment,['assess' 'coastal' 'flood' 'risk']
coastal flood risk assessments,['assess' 'coastal' 'flood' 'risk']
coastal flood risk management,['coastal' 'flood' 'manag' 'risk']
coastal flood risks,['coastal' 'flood' 'risk']
coastal flooding,['coastal' 'flood']
coastal floods,['coastal' 'flood']
coastal forest buffer zones,['buffer' 'coastal' 'forest' 'zone']
coastal governance,['coastal' 'govern']
coastal habitats,['coastal' 'habitat']
coastal hazard,['coastal' 'hazard']
coastal hazard risk,['coastal' 'hazard' 'risk']
coastal hazard zones,['coastal' 'hazard' 'zone']
coastal hazards,['coastal' 'hazard']
coastal households,['coastal' 'household']
coastal impacts,['coastal' 'impact']
coastal infrastructure,['coastal' 'infrastructur']
coastal inundation,['coastal']
coastal management,['coastal' 'manag']
coastal plains,['coastal' 'plain']
coastal planners,['coastal' 'planner']
coastal planning,['coastal' 'plan']
coastal planning and management,['coastal' 'manag' 'plan']
coastal populations,['coastal' 'popul']
coastal port urban agglomerations,['coastal' 'port' 'urban']
coastal protection,['coastal' 'protect']
coastal protection budgets,['budget' 'coastal' 'protect']
coastal protection levels,['coastal' 'level' 'protect']
coastal protection measures,['coastal' 'measur' 'protect']
coastal realignment,['coastal' 'realign']
coastal recession,['coastal' 'recess']
coastal region,['coastal' 'region']
coastal regions,['coastal' 'region']
coastal resilience,['coastal' 'resili']
coastal resiliency,['coastal' 'resili']
coastal resource managers,['coastal' 'manag' 'resourc']
coastal resources,['coastal' 'resourc']
coastal risk,['coastal' 'risk']
coastal risk management policies,['coastal' 'manag' 'polici' 'risk']
coastal risk reduction,['coastal' 'reduct' 'risk']
coastal risks,['coastal' 'risk']
coastal rural villages,['coastal' 'rural']
coastal salt marshes,['coastal' 'marsh' 'salt']
coastal settlements,['coastal' 'settlement']
coastal storm,['coastal' 'storm']
coastal storm events,['coastal' 'event' 'storm']
coastal storm modeling system cosmos,['coastal' 'cosmos' 'model' 'storm']
coastal storms,['coastal' 'storm']
coastal systems,['coastal' 'system']
coastal tourism facilities,['coastal' 'facil' 'tourism']
coastal towns,['coastal' 'town']
coastal typologies,['coastal']
coastal villages,['coastal']
coastal vulnerability,['coastal' 'vulner']
coastal vulnerability index,['coastal' 'index' 'vulner']
coastal vulnerability indicators,['coastal' 'vulner']
coastal vulnerability model,['coastal' 'model' 'vulner']
coastal zone,['coastal' 'zone']
coastal zone management,['coastal' 'manag' 'zone']
coastal zones,['coastal' 'zone']
coastal zoning,['coastal' 'zone']
coastline protection,['protect']
coasts,['coast']
code,['code']
codes of practice,['code' 'practic']
coding,['code']
coefficient of variation,['coeffici' 'variat']
coevolutionary modeling,['model']
coffee,['coffe']
coffee growers,['coffe' 'grower']
coffee leaf rust,['coffe' 'leaf' 'rust']
coffee management,['coffe' 'manag']
coffee production,['coffe' 'product']
cognised models,['cognis' 'model']
cognitive abilities and capacities,['capac']
cognitive activities,['activ']
cognitive control,['control']
cognitive models,['model']
cognitive science,['scienc']
cognitively construed,['constru']
coherence,['coher']
cold,['cold']
cold days,['cold' 'day']
cold dry,['cold']
cold regions,['cold' 'region']
cold snap events,['cold' 'event' 'snap']
cold snaps,['cold' 'snap']
cold spells,['cold' 'spell']
cold temperatures,['cold']
cold waves,['cold' 'wave']
cold weather,['cold' 'weather']
cold wet,['cold' 'wet']
collaborative actions,['action']
collaborative approach,['approach']
collaborative approaches,['approach']
collaborative capacity,['capac']
collaborative decision making,['decis' 'make']
collaborative efforts,['effort']
collaborative expert workshop,['expert' 'workshop']
collaborative governance,['govern']
collaborative groups,['group']
collaborative knowledge production,['product']
collaborative learning,['learn']
collaborative partnerships,['partnership']
collaborative planning,['plan']
collaborative policy,['polici']
collaborative process,['process']
collaborative proposals,['propos']
collaborative structures,['structur']
collapse,['collaps']
collapse of states,['collaps' 'state']
collar,['collar']
collective action,['action' 'collect']
collective actions,['action' 'collect']
collective awareness,['awar' 'collect']
collective knowledge,['collect']
collective learning,['collect' 'learn']
collective level,['collect' 'level']
collective memory,['collect' 'memori']
collective problem solving,['collect' 'problem' 'solv']
collective responses,['collect' 'respons']
collective view,['collect' 'view']
collective violence,['collect']
collective water resource resiliency,['collect' 'resili' 'resourc' 'water']
collective welfare,['collect' 'welfar']
collier county,['collier']
colombia,['colombia']
colombian power system,['power']
color palettes,['color']
colorado river basin,['basin' 'river']
columbia plateau,['plateau']
columbia river,['river']
columbia river basin,['basin' 'river']
columbia river treaty,['river']
column precipitable water,['column' 'precipit' 'water']
combat land degradation,['combat' 'land']
combustion emissions,['combust']
command and control approach,['approach' 'command' 'control']
command line interface,['command' 'interfac' 'line']
comments,['comment']
commercial and industrial water use,['industri' 'use' 'water']
commercial and public services,['public' 'servic']
commercial farms,['farm']
commercial industrial areas,['area' 'industri']
commercial irrigated agriculture,['irrig']
commercial livestock,['livestock']
commercial marine fisheries,['fisheri' 'marin']
commercial sales,['sale']
commitment,['commit']
commodities,['commod']
commodity exchange,['commod']
commodity forecasting,['commod' 'forecast']
commodity prices,['commod' 'price']
commodity shocks,['commod' 'shock']
common agriculture policy,['common' 'polici']
common bean,['bean' 'common']
common property,['common' 'properti']
commonalities,['common']
commonwealth edison utility,['util']
communal culture,['communal']
communication networks,['network']
communication strategies,['strategi']
communication strategy,['strategi']
communication techniques,['techniqu']
communities,['communiti']
communities of color,['color' 'communiti']
communities of living,['communiti' 'live']
communities policymakers engagement,['communiti' 'engag']
community,['communiti']
community action,['action' 'communiti']
community actions,['action' 'communiti']
community adaptation plans,['adapt' 'communiti' 'plan']
community atmosphere model,['atmospher' 'communiti' 'model']
community barriers,['barrier' 'communiti']
community based,['base' 'communiti']
community based adaptation,['adapt' 'base' 'communiti']
community based adaptation action plan capa,['action' 'adapt' 'base' 'communiti' 'plan']
community based adaptation strategies,['adapt' 'base' 'communiti' 'strategi']
community based approaches,['approach' 'base' 'communiti']
community based initiatives,['base' 'communiti']
community based institutions,['base' 'communiti' 'institut']
community based natural resource management,['base' 'communiti' 'manag' 'resourc']
community based organizations,['base' 'communiti' 'organ']
community based participatory research,['base' 'communiti' 'participatori' 'research']
community based research,['base' 'communiti' 'research']
community based responses,['base' 'communiti' 'respons']
community bonds,['bond' 'communiti']
community building,['build' 'communiti']
community capacity,['capac' 'communiti']
community capacity building,['build' 'capac' 'communiti']
community change,['communiti']
community collaboration,['communiti']
community compositions,['communiti' 'composit']
community development,['communiti' 'develop']
community disaster planning,['communiti' 'plan']
community disaster resilience,['communiti' 'resili']
community driven,['communiti' 'driven']
community earth system model,['communiti' 'earth' 'model']
community earth system model v1 large ensemble,['communiti' 'earth' 'ensembl' 'larg' 'model']
community engagement,['communiti' 'engag']
community expectations,['communiti' 'expect']
community food systems,['communiti' 'food' 'system']
community forest user group,['communiti' 'forest' 'group' 'user']
community infrastructure,['communiti' 'infrastructur']
community integrated assessment system cias,['assess' 'communiti' 'integr']
community involvement,['communiti' 'involv']
community land model,['communiti' 'land' 'model']
community land model version 5,['communiti' 'land' 'model' 'version']
community level,['communiti' 'level']
community level assessments,['assess' 'communiti' 'level']
community level characteristics,['communiti' 'level']
community level policy,['communiti' 'level' 'polici']
community level warning system,['communiti' 'level' 'warn']
community levels,['communiti' 'level']
community liveability,['communiti' 'liveabl']
community livelihoods,['communiti' 'livelihood']
community management,['communiti' 'manag']
community member engagement strategy,['communiti' 'engag' 'member' 'strategi']
community members,['communiti' 'member']
community multiscale air quality cmaq,['air' 'cmaq' 'communiti' 'multiscal']
community needs,['communiti' 'need']
community observation,['communiti' 'observ']
community of practice,['communiti' 'practic']
community organizations,['communiti' 'organ']
community participation,['communiti']
community perspectives,['communiti' 'perspect']
community planning,['communiti' 'plan']
community priorities,['communiti']
community questionnaire,['communiti']
community resilience,['communiti' 'resili']
community risk analysis,['communiti' 'risk']
community scales,['communiti' 'scale']
community skepticism,['communiti' 'skeptic']
community structure,['communiti' 'structur']
community topology,['communiti']
community vulnerability,['communiti' 'vulner']
community vulnerability assessment framework,['assess' 'communiti' 'framework' 'vulner']
community well being,['communiti']
comoe river basin,['basin' 'river']
comorbidity,['comorbid']
companion modelling,['companion' 'model']
comparability,['compar']
comparative advantage,['advantag' 'compar']
comparative analysis,['compar']
comparative approaches,['approach' 'compar']
comparative dynamics,['compar']
comparative hydrology,['compar']
comparative work,['compar' 'work']
comparison,['comparison']
comparison to observation data,['comparison' 'data' 'observ']
compatibility,['compat']
compatible tools,['compat' 'tool']
compensation,['compens']
competence,['compet']
competition for land use,['land' 'use']
competition for water,['water']
competitive gaming,['game']
competitive urbanism,['urban']
competive water use,['compet' 'use' 'water']
complementary livelihoods,['livelihood']
complex,['complex']
complex adaptive,['adapt' 'complex']
complex adaptive system,['adapt' 'complex']
complex adaptive systems,['adapt' 'complex' 'system']
complex behavior,['behavior' 'complex']
complex challenges,['complex']
complex climate model emulation,['climat' 'complex' 'model']
complex dynamic control tasks,['complex' 'control' 'task']
complex ecological interactions,['complex' 'ecolog' 'interact']
complex human environment systems,['complex' 'environ' 'human' 'system']
complex human natural systems,['complex' 'human' 'system']
complex interaction between variables,['complex' 'interact' 'variabl']
complex interactions,['complex' 'interact']
complex interdependent systems,['complex' 'interdepend' 'system']
complex livelihood systems,['complex' 'livelihood' 'system']
complex local conditions,['complex' 'condit' 'local']
complex nature,['complex']
complex network theory,['complex' 'network']
complex phenomenon,['complex' 'phenomenon']
complex risks,['complex' 'risk']
complex shape,['complex' 'shape']
complex system,['complex']
complex system analyses,['analys' 'complex']
complex systems,['complex' 'system']
complex systems models,['complex' 'model' 'system']
complex systems of systems,['complex' 'system']
complex systems theory,['complex' 'system']
complexity,['complex']
complexity aspects,['aspect' 'complex']
complexity of governance,['complex' 'govern']
complexity science,['complex' 'scienc']
complexity systems,['complex' 'system']
complexity theory,['complex']
complexity thinking,['complex' 'think']
compliance,['complianc']
compliant domains,['compliant' 'domain']
component level impacts,['impact' 'level']
component tracking,['track']
composite biological social index,['biolog' 'composit' 'index' 'social']
composite indicator,['composit']
composite risk score,['composit' 'risk' 'score']
composite vulnerability index,['composit' 'index' 'vulner']
composition,['composit']
composting,['compost']
compound climate risks,['climat' 'compound' 'risk']
compound ecosystem,['compound' 'ecosystem']
compound events,['compound' 'event']
compound flooding,['compound' 'flood']
compound metrics,['compound' 'metric']
compound risks,['compound' 'risk']
compound weather,['compound' 'weather']
compounding risk analysis,['compound' 'risk']
compounding risks,['compound' 'risk']
comprehensive approach,['approach']
comprehensive experiments,['experi']
comprehensive framework,['framework']
comprehensive plan,['plan']
compromise management strategies,['compromis' 'manag' 'strategi']
compromise programming,['compromis' 'program']
computable general equilibrium,['comput' 'equilibrium' 'general']
computable general equilibrium cge model,['comput' 'equilibrium' 'general' 'model']
computable general equilibrium model,['comput' 'equilibrium' 'general' 'model']
computable general equilibrium models,['comput' 'equilibrium' 'general' 'model']
computation,['comput']
computation and coupling techniques,['comput' 'techniqu']
computation time,['comput' 'time']
computational,['comput']
computational burden,['burden' 'comput']
computational capacity,['capac' 'comput']
computational challenges,['comput']
computational cost,['comput' 'cost']
computational decision analysis,['comput' 'decis']
computational economic framework,['comput' 'framework']
computational efficiency,['comput' 'effici']
computational expense,['comput' 'expens']
computational experiments,['comput' 'experi']
computational methods,['comput' 'method']
computational model,['comput' 'model']
computational models,['comput' 'model']
computational power,['comput' 'power']
computational resources,['comput' 'resourc']
computational science,['comput' 'scienc']
computational statistics,['comput' 'statist']
computational tradeoffs,['comput' 'tradeoff']
computationally intensive,['comput']
computer architecture,['architectur' 'comput']
computer assisted reasoning,['assist' 'comput' 'reason']
computer modeling,['comput' 'model']
computer modelling,['comput' 'model']
computer processing,['comput' 'process']
computer science,['comput' 'scienc']
computer simulation,['comput' 'simul']
computer simulation modeling,['comput' 'model' 'simul']
computer use,['comput' 'use']
computers,['comput']
computing,['comput']
concentrated development,['concentr' 'develop']
concentration,['concentr']
concentration driven,['concentr' 'driven']
concept map,['concept' 'map']
conceptions of disciplinary perspective,['concept' 'perspect']
concepts,['concept']
conceptual and methodological approaches,['approach']
conceptual design,['design']
conceptual framework,['framework']
conceptual frameworks,['framework']
conceptual hydrological models,['model']
conceptual model,['model']
conceptual models,['model']
conceptual studies,['studi']
conceptualisation,['conceptualis']
conceptualisations,['conceptualis']
concern,['concern']
concrete adaptation solutions,['adapt' 'concret']
conditional probabilities,['condit' 'probabl']
confidence,['confid']
confidence levels,['confid' 'level']
configurations,['configur']
conflict,['conflict']
conflict sensitive approaches,['approach' 'conflict' 'sensit']
conflicting demands,['conflict' 'demand']
conflicting human pressures,['conflict' 'human' 'pressur']
conflicting interests,['conflict' 'interest']
conflicting stakeholder objectives,['conflict' 'object' 'stakehold']
conflicts,['conflict']
congestion,['congest']
congo basin,['basin']
congo basin forests,['basin' 'forest']
congo river basin,['basin' 'river']
connected extreme events,['connect' 'event' 'extrem']
connectedness,['connected']
connecticut river basin,['basin' 'river']
connectivity,['connect']
connectivity between disciplines,['connect']
consensus,['consensus']
consensuses,['consensus']
consequences,['consequ']
conservation action,['action']
conservation areas,['area']
conservation conflict,['conflict']
conservation decision making,['decis' 'make']
conservation decisions,['decis']
conservation framework,['framework']
conservation goals,['goal']
conservation management,['manag']
conservation managers,['manag']
conservation of agricultural environment,['environ']
conservation of natural resources,['resourc']
conservation planning,['plan']
conservation policies,['polici']
conservation portfolios,['portfolio']
conservation practices,['practic']
conservation practitioners,['practition']
conservation professionals,['profession']
conservation reserves,['reserv']
conservation sectors,['sector']
conservation targets,['target']
conservation tool,['tool']
conservational lands,['land']
conserving natural resources,['resourc']
consideration of scale,['consider' 'scale']
consistency,['consist']
consistency approach,['approach' 'consist']
consistent long term financing,['consist' 'long' 'term']
consistent storylines,['consist']
consorted actions,['action' 'consort']
constitutional responsibility,['constitut' 'respons']
constrained optimization,['constrain']
constraints,['constraint']
constraints to crop production,['constraint' 'crop' 'product']
construction,['construct']
construction cost,['construct' 'cost']
construction costs,['construct' 'cost']
construction of embankments,['construct']
construction typology,['construct']
constructivist grounded theory approach,['approach' 'constructivist' 'ground']
consultants,['consult']
consume,['consum']
consumer,['consum']
consumer behaviors,['behavior' 'consum']
consumer choices,['consum']
consumer spending,['consum' 'spend']
consumer support policy,['consum' 'polici' 'support']
consumer well being,['consum']
consumers,['consum']
consumption,['consumpt']
consumption loss,['consumpt' 'loss']
consumption of goods and services,['consumpt' 'good' 'servic']
consumption side reduction,['consumpt' 'reduct']
consumptive uses,['consumpt' 'use']
consumptive water use,['consumpt' 'use' 'water']
contaminants,['contamin']
contamination,['contamin']
content,['content']
content analysis,['content']
contents,['content']
conterminous united states,['contermin' 'state' 'unit']
context,['context']
context sensitive,['context' 'sensit']
context specific,['context' 'specif']
context specific adaptation strategies,['adapt' 'context' 'specif' 'strategi']
context specific assessments,['assess' 'context' 'specif']
contextual analysis,['contextu']
contextual barriers,['barrier' 'contextu']
contextual differences,['contextu' 'differ']
contextual dimension,['contextu']
contextual reasons,['contextu' 'reason']
contextualized,['contextu']
contiguous united states,['contigu' 'state' 'unit']
continental scale,['continent' 'scale']
continental warming,['continent' 'warm']
contingency crop planning,['conting' 'crop' 'plan']
contingency events,['conting' 'event']
contingency planning,['conting' 'plan']
contingency plans,['conting' 'plan']
continued emissions scenario,['continu' 'scenario']
continuity of purpose,['continu']
continuous action space,['action' 'continu' 'space']
continuous distributions,['continu']
continuous improvement,['continu' 'improv']
contract pricing,['contract' 'price']
contrarians,['contrarian']
control,['control']
control and use of water,['control' 'use' 'water']
control beliefs,['belief' 'control']
control locations,['control' 'locat']
control of land and water resources,['control' 'land' 'resourc' 'water']
control policy design,['control' 'design' 'polici']
control strategies,['control' 'strategi']
controlled experiments,['control' 'experi']
controlling invasive species,['control' 'invas' 'speci']
controversy studies,['controversi' 'studi']
convection permitting regional model,['model' 'permit' 'region']
convective available potential energy,['avail']
conventional measures,['convent' 'measur']
conventional methods,['convent' 'method']
convey,['convey']
cool roofs,['cool' 'roof']
cooling,['cool']
cooling and heating services,['cool' 'heat' 'servic']
cooling buildings,['build' 'cool']
cooling degree days,['cool' 'day' 'degre']
cooling demand,['cool' 'demand']
cooling demand change,['cool' 'demand']
cooling demands,['cool' 'demand']
cooling energy demand,['cool' 'demand']
cooling energy use,['cool' 'use']
cooling systems,['cool' 'system']
cooling technologies,['cool' 'technolog']
cooling technology,['cool' 'technolog']
cooling types,['cool' 'type']
cooling water availability,['avail' 'cool' 'water']
cooperation,['cooper']
cooperative management,['cooper' 'manag']
cooperative river basin management,['basin' 'cooper' 'manag' 'river']
cooperative stability,['cooper']
cooperative structures,['cooper' 'structur']
coordinated action,['action' 'coordin']
coordinated adaptation planning,['adapt' 'coordin' 'plan']
coordination,['coordin']
coordination hubs,['coordin' 'hub']
coordination mechanism,['coordin']
coordination mechanisms,['coordin']
coordination process,['coordin' 'process']
cop,['cop']
cop facilitation team,['cop' 'team']
cope,['cope']
coping,['cope']
coping and adaptation,['adapt' 'cope']
coping and adaptation options,['adapt' 'cope' 'option']
coping and adaptation strategies,['adapt' 'cope' 'strategi']
coping capacity,['capac' 'cope']
coping mechanisms,['cope']
coping responses,['cope' 'respons']
coping strategies,['cope' 'strategi']
coproduce knowledge,['coproduc']
coproduced performance metrics,['coproduc' 'metric' 'perform']
coproducing services,['coproduc' 'servic']
coproduction,['coproduct']
coproduction of science,['coproduct' 'scienc']
copula based approaches,['approach' 'base' 'copula']
coral beds,['bed' 'coral']
coral bleaching,['bleach' 'coral']
coral reef,['coral' 'reef']
coral reef protection,['coral' 'protect' 'reef']
coral reef restoration,['coral' 'reef' 'restor']
coral reefs,['coral' 'reef']
cordex,['cordex']
cordex africa project,['cordex' 'project']
cordex climate projections,['climat' 'cordex' 'project']
cordex eas,['cordex' 'ea']
cordex gcms,['cordex' 'gcms']
cordex sa,['cordex']
core business categories 1 3,['busi' 'core']
core climate change concepts,['climat' 'concept' 'core']
core group,['core' 'group']
core interdependencies,['core' 'interdepend']
core science,['core' 'scienc']
core set of terms,['core' 'set' 'term']
corine land use,['corin' 'land' 'use']
cork city,['citi' 'cork']
corn residues,['corn' 'residu']
corn yield,['corn' 'yield']
coromandel peninsula,['coromandel' 'peninsula']
coronary heart disease,['heart']
coronavirus,['coronavirus']
corporate climate adaptation,['adapt' 'climat' 'corpor']
corporate sustainability,['corpor' 'sustain']
corpus,['corpus']
correction,['correct']
correctness,['correct']
correlative modeling,['model']
corruption,['corrupt']
corvi,['corvi']
cosmo clm,['clm' 'cosmo']
cost,['cost']
cost and benefits,['benefit' 'cost']
cost beneficial,['benefici' 'cost']
cost benefit,['benefit' 'cost']
cost benefit analyses,['analys' 'benefit' 'cost']
cost benefit analysis,['benefit' 'cost']
cost benefit assessment,['assess' 'benefit' 'cost']
cost benefit outcomes,['benefit' 'cost']
cost benefit risk,['benefit' 'cost' 'risk']
cost effective,['cost' 'effect']
cost effective adaptation,['adapt' 'cost' 'effect']
cost effective climate resilient measures,['climat' 'cost' 'effect' 'measur' 'resili']
cost effective interventions,['cost' 'effect' 'intervent']
cost effective strategies,['cost' 'effect' 'strategi']
cost effectiveness,['cost' 'effect']
cost effectiveness analysis,['cost' 'effect']
cost efficiency,['cost' 'effici']
cost forecasting,['cost' 'forecast']
cost implications,['cost' 'implic']
cost infrastructure,['cost' 'infrastructur']
cost minimization,['cost' 'minim']
cost of adaptation,['adapt' 'cost']
cost of future flood damage,['cost' 'flood' 'futur']
cost of implementation,['cost' 'implement']
cost of production,['cost' 'product']
cost of water demand,['cost' 'demand' 'water']
cost optimization,['cost']
cost savings,['cost' 'save']
costa rica,['costa']
costing of floods,['cost' 'flood']
costs,['cost']
costs and benefits,['benefit' 'cost']
costs and consent ability,['consent' 'cost']
costs of flood damage,['cost' 'flood']
costs of transformation,['cost' 'transform']
cotton,['cotton']
council approval,['approv' 'council']
council of europe,['council' 'europ']
counterintuitive policies,['polici']
countries,['countri']
country,['countri']
country capacities,['capac' 'countri']
country driven,['countri' 'driven']
country level,['countri' 'level']
country size,['countri' 'size']
country specific,['countri' 'specif']
country specific strategies,['countri' 'specif' 'strategi']
county level,['level']
county scale analyses,['analys' 'scale']
coupled atmosphere wave ocean model,['atmospher' 'model' 'ocean' 'wave']
coupled climate crop models,['climat' 'crop' 'model']
coupled earth system model,['earth' 'model']
coupled human and natural systems,['human' 'system']
coupled human earth system modeling framework,['earth' 'framework' 'human' 'model']
coupled human natural systems,['human' 'system']
coupled hydrological climate model,['climat' 'model']
coupled land atmosphere modeling,['atmospher' 'land' 'model']
coupled land atmospheric simulations,['atmospher' 'land' 'simul']
coupled model,['model']
coupled model intercomparison project,['intercomparison' 'model' 'project']
coupled model intercomparison project cmip5,['intercomparison' 'model' 'project']
coupled model intercomparison project phase 5,['intercomparison' 'model' 'phase' 'project']
coupled model intercomparison projects,['intercomparison' 'model' 'project']
coupled modeling,['model']
coupled natural human systems,['human' 'system']
covariance function,['function']
covenant of mayors for climate and energy,['climat' 'coven' 'mayor']
covenant of mayors initiative,['coven' 'mayor']
cover,['cover']
cover characterization,['character' 'cover']
cover crops,['cover' 'crop']
cover materials,['cover']
cover projection,['cover' 'project']
covid 19,['covid']
covid 19 pandemic,['covid']
cow welfare,['cow' 'welfar']
cowpeas,['cowpea']
creative,['creativ']
creative teams,['creativ' 'team']
creativity,['creativ']
credibility,['credibl']
credit,['credit']
credit access,['access' 'credit']
credit facilities,['credit' 'facil']
credit services,['credit' 'servic']
credits,['credit']
crete island,['crete' 'island']
crisis driven responses,['crisi' 'driven' 'respons']
crisis management,['crisi' 'manag']
criteria,['criteria']
criteria assessment,['assess' 'criteria']
criteria pollutant emissions,['criteria' 'pollut']
critical buildings,['build' 'critic']
critical connections,['connect' 'critic']
critical ecosystems services,['critic' 'ecosystem' 'servic']
critical goods,['critic' 'good']
critical infrastructure,['critic' 'infrastructur']
critical infrastructure protection,['critic' 'infrastructur' 'protect']
critical infrastructures,['critic' 'infrastructur']
critical junctures,['critic']
critical knowledge gaps,['critic' 'gap']
critical levels,['critic' 'level']
critical methodological,['critic']
critical social sciences,['critic' 'scienc' 'social']
critical systems thinking,['critic' 'system' 'think']
critical threshold,['critic' 'threshold']
critical threshold indices,['critic' 'threshold']
critical thresholds,['critic' 'threshold']
critical thresholds of climate change,['climat' 'critic' 'threshold']
critical transitions,['critic' 'transit']
critical uncertainties,['critic']
crop,['crop']
crop & livestock enterprises,['crop' 'livestock']
crop adaptation,['adapt' 'crop']
crop allocation,['alloc' 'crop']
crop and livestock models,['crop' 'livestock' 'model']
crop and livestock producers,['crop' 'livestock' 'produc']
crop and livestock production,['crop' 'livestock' 'product']
crop and livestock species,['crop' 'livestock' 'speci']
crop and pasture models,['crop' 'model' 'pastur']
crop and varietal adjustment,['adjust' 'crop' 'variet']
crop bio physical model,['bio' 'crop' 'model' 'physic']
crop breeding,['breed' 'crop']
crop choice,['crop']
crop choice decisions,['crop' 'decis']
crop climate ensembles,['climat' 'crop' 'ensembl']
crop climate relationships,['climat' 'crop' 'relationship']
crop cover,['cover' 'crop']
crop cultivars,['crop' 'cultivar']
crop cultivation,['crop']
crop cycle,['crop']
crop cycle duration,['crop']
crop data,['crop' 'data']
crop demand,['crop' 'demand']
crop demand model,['crop' 'demand' 'model']
crop development,['crop' 'develop']
crop differences,['crop' 'differ']
crop disease,['crop']
crop distribution,['crop']
crop diversification,['crop' 'diversif']
crop failure,['crop']
crop farming,['crop' 'farm']
crop genotype adaptation,['adapt' 'crop']
crop growth,['crop' 'growth']
crop growth model,['crop' 'growth' 'model']
crop growth modelling,['crop' 'growth' 'model']
crop growth period,['crop' 'growth' 'period']
crop growth simulation modelling,['crop' 'growth' 'model' 'simul']
crop harvested area,['area' 'crop' 'harvest']
crop health,['crop' 'health']
crop husbandry,['crop']
crop hydrology model,['crop' 'model']
crop improvement,['crop' 'improv']
crop insurance,['crop']
crop insurance policy,['crop' 'polici']
crop irrigation requirements,['crop' 'irrig' 'requir']
crop loss,['crop' 'loss']
crop management,['crop' 'manag']
crop management adaptation,['adapt' 'crop' 'manag']
crop mix shifts,['crop' 'mix' 'shift']
crop model,['crop' 'model']
crop model outputs,['crop' 'model' 'output']
crop model projections,['crop' 'model' 'project']
crop model simulations,['crop' 'model' 'simul']
crop modeling,['crop' 'model']
crop modeling studies,['crop' 'model' 'studi']
crop modelling,['crop' 'model']
crop models,['crop' 'model']
crop phenology,['crop' 'phenolog']
crop planning,['crop' 'plan']
crop planting dates,['crop' 'date' 'plant']
crop plants,['crop' 'plant']
crop portfolio,['crop' 'portfolio']
crop prices,['crop' 'price']
crop production,['crop' 'product']
crop production practices and technologies,['crop' 'practic' 'product' 'technolog']
crop production system,['crop' 'product']
crop production zones,['crop' 'product' 'zone']
crop productivity,['crop' 'product']
crop profit,['crop' 'profit']
crop profitability,['crop' 'profit']
crop residue,['crop' 'residu']
crop respiration,['crop']
crop response,['crop' 'respons']
crop responses,['crop' 'respons']
crop rotation,['crop']
crop rotation plans,['crop' 'plan']
crop rotations,['crop']
crop selection,['crop' 'select']
crop simulation,['crop' 'simul']
crop simulation model,['crop' 'model' 'simul']
crop simulation models,['crop' 'model' 'simul']
crop simulations,['crop' 'simul']
crop specialisation,['crop']
crop species,['crop' 'speci']
crop specific,['crop' 'specif']
crop specific adaptation planning,['adapt' 'crop' 'plan' 'specif']
crop structure management,['crop' 'manag' 'structur']
crop suitability,['crop' 'suitabl']
crop suitability zones,['crop' 'suitabl' 'zone']
crop switching,['crop' 'switch']
crop systems,['crop' 'system']
crop taxa,['crop' 'taxa']
crop type,['crop' 'type']
crop types,['crop' 'type']
crop varieties,['crop' 'varieti']
crop variety management,['crop' 'manag' 'varieti']
crop water balance models,['balanc' 'crop' 'model' 'water']
crop water demand,['crop' 'demand' 'water']
crop water production functions,['crop' 'function' 'product' 'water']
crop water productivity,['crop' 'product' 'water']
crop water requirement,['crop' 'requir' 'water']
crop water use,['crop' 'use' 'water']
crop yield,['crop' 'yield']
crop yield projections,['crop' 'project' 'yield']
crop yield volatility,['crop' 'volatil' 'yield']
crop yields,['crop' 'yield']
cropland,['cropland']
cropland area,['area' 'cropland']
cropland areas,['area' 'cropland']
cropland expansion,['cropland']
cropland irrigation,['cropland' 'irrig']
cropland productivity,['cropland' 'product']
cropping,['crop']
