lemmas,label
climate relate hazard,other
climate relate product,other
climate relate risk perception,other
climate relate risk,other
climate resilient,decision science
climate prediction center cpc gridded station data,socio-ecological systems
climate related hazard,system of systems
climate risk template,earth system modeling
climate run,earth system modeling
climate scenario,earth system modeling
climate science,earth system modeling
climate sensitivity simulation,earth system modeling
climate service framework,earth system modeling
climate shift,earth system modeling
climate signal,earth system modeling
climate simulation,earth system modeling
climate smart technological practice,earth system modeling
climate stabilization,earth system modeling
climate roundtable,integrated assessment modeling
climate safety factor,integrated assessment modeling
climate scenario data,integrated assessment modeling
climate science community,integrated assessment modeling
climate science investment,integrated assessment modeling
climate scientist,integrated assessment modeling
climate sensitive development,integrated assessment modeling
climate sensitive hazard,integrated assessment modeling
climate sensitive health risk,integrated assessment modeling
climate sensitive hotspot,complexity science
climate sensitive land use planning,integrated assessment modeling
climate sensitivity,integrated assessment modeling
climate sensitivity uncertainty,integrated assessment modeling
climate service,integrated assessment modeling
climate service literature,integrated assessment modeling
climate shock,integrated assessment modeling
climate smart agricultural practice,integrated assessment modeling
climate smart agricultural prioritization,integrated assessment modeling
climate smart agriculture,integrated assessment modeling
climate smart development plan,integrated assessment modeling
climate smart food,other
climate smart intervention,socio-ecological systems
climate smart land use planning,integrated assessment modeling
climate smart management,socio-ecological systems
climate smart training,other
climate smart village,other
climate smartness,decision science
climate stress resilience,integrated assessment modeling
climate strategy,integrated assessment modeling
climate stress,integrated assessment modeling
climate stationarity,integrated assessment modeling
climate smart development,economics
climate smart technology,system of systems
climate stressor,earth system modeling
climate target,earth system modeling
climate trigger,earth system modeling
climate uncertainty,socio-ecological systems
climate variability change,earth system modeling
climate variability,earth system modeling
climate vulnerability,earth system modeling
climate warming,earth system modeling
climate water adaptation,earth system modeling
climate water constraint,earth system modeling
climate water impact,earth system modeling
climate water stress,earth system modeling
climate wizard,earth system modeling
climate zone,earth system modeling
climatewater project,earth system modeling
climatic attribute,earth system modeling
climatic challenge,earth system modeling
climatic change,earth system modeling
climatic condition,earth system modeling
climatic data,earth system modeling
climatic distinctiveness,earth system modeling
climatic factor,earth system modeling
climatic hazard,earth system modeling
climatic impact,earth system modeling
climatic information,earth system modeling
climatic model,earth system modeling
climatic risk management,earth system modeling
climatic risk,earth system modeling
climatic stress,earth system modeling
climatic system,earth system modeling
climatic trend,earth system modeling
climatic uncertainty,earth system modeling
climate suitability,integrated assessment modeling
climate sustainability index csi,integrated assessment modeling
climate inertia,integrated assessment modeling
climate response,integrated assessment modeling
climate target policy,integrated assessment modeling
climate volatility,integrated assessment modeling
climate vulnerability index,integrated assessment modeling
climate vulnerability index cvi,integrated assessment modeling
climate vulnerability index map,integrated assessment modeling
climate variation,economics
climatic,decision science
climatic variability,earth system modeling
climatic zone,earth system modeling
climsave,earth system modeling
climsave integrate assessment platform,integrated assessment modeling
dataset,other
gcm projection,earth system modeling
model,earth system modeling
transient climate response,earth system modeling
clinical management plan,integrated assessment modeling
clm,integrated assessment modeling
clm community rcm,integrated assessment modeling
benefit,integrated assessment modeling
benefit climate policy,integrated assessment modeling
closed defense,economics
closed economy model,economics
close loop,other
closed loop control,other
closed loop cooling,other
close source software,other
cloud compute,other
create,economics
creation,economics
creation knowledge,economics
design,other
design process,economics
emit air pollutant,economics
existence community,economics
manage resilience strategy,economics
production,economics
production knowledge,economics
management model,decision science
operative governance,decision science
cloud cover,other
cloud process,other
cloudburst,other
cloudiness,other
cloud,other
clumondo,other
clumsy solution,other
atmospheric concentration,socio-ecological systems
concentration,socio-ecological systems
cluster analysis,complexity science
cluster,other
cmaq model,other
effect,other
fertilisation/fertilization/fertilization effect cfe/fertilization effect,other
forest fertilization,socio-ecological systems
reduction,economics
coal/coal exploitation,earth system modeling
coal fire power plant,earth system modeling
coarse grain,other
coastadapt,other
coastal/coastal activity/coastal adaptation/coastal adaptation strategy/coastal environmental management/coastal application/coastal area/coastal asset/coastal australia/coastal bangladesh/coastal biodiversity/coastal buffer zone/coastal california mountain/coastal change/coastal change hazard/coastal change impact/coastal city/coastal city/coastal climate adaptation decision support tool/coastal climate change adaptation cca/coastal climate hazard/coastal community/coastal community/coastal damage/coastal defense/coastal degradation/coastal development/coastal development project/coastal ecosystem degradation/coastal ecosystem group/coastal ecosystem/coastal engineering/coastal engineering solution/coastal engineer/coastal environmental management/coastal environment/coastal erosion,socio-ecological systems
coastal flood modeling,earth system modeling
coastal flood risk assessment,earth system modeling
coastal flood risk management,earth system modeling
coastal inundation,complexity science
coastal planning management,complexity science
coastal protection budget,complexity science
coastal protection level,complexity science
coastal protection measure,complexity science
coastal realignment,complexity science
coastal recession,complexity science
coastal risk management policy,complexity science
coastal risk reduction,complexity science
coastal flood adaptation,complexity science
coastal flood damage,complexity science
coastal flood hazard adaptation,complexity science
coastal flood risk,complexity science
coastal flooding,complexity science
coastal flood,complexity science
coastal governance,complexity science
coastal hazard,complexity science
coastal hazard risk,complexity science
coastal hazard zone,complexity science
coastal impact,complexity science
coastal infrastructure,complexity science
coastal management,complexity science
coastal plain,complexity science
coastal planning,complexity science
coastal population,complexity science
coastal port urban agglomeration,complexity science
coastal resource manager,complexity science
coastal resource,other
coastal risk,complexity science
coastal resilience,complexity science
coastal resiliency,complexity science
coastal rural village,complexity science
coastal expert,other
coastal forest buffer zone,complexity science
coastal household,other
coastal planner,other
coastal protection,complexity science
coastal estuary,complexity science
coastal fishing community,complexity science
coastal habitat,complexity science
coastal region,complexity science
coastal salt marsh,earth system modeling
coastal storm modeling cosmos,earth system modeling
coastal storm,earth system modeling
coastal system,earth system modeling
coastal zoning,earth system modeling
coastline protection,earth system modeling
coast,other
cold,earth system modeling
cold day,earth system modeling
cold dry,other
cold region,other
cold snap event,earth system modeling
cold snap,other
cold spell,system of systems
cold temperature,other
cold wave,other
cold weather,other
cold wet,other
coastal settlement,integrated assessment modeling
coastal storm event,integrated assessment modeling
coastal tourism facility,integrated assessment modeling
coastal town,integrated assessment modeling
coastal typology,integrated assessment modeling
coastal village,integrated assessment modeling
coastal vulnerability,integrated assessment modeling
coastal vulnerability index,integrated assessment modeling
coastal vulnerability indicator,integrated assessment modeling
coastal vulnerability model,integrated assessment modeling
coastal zone,decision science
coastal zone management,integrated assessment modeling
code,other
code practice,other
cod,other
coefficient variation,other
coevolutionary modeling,other
coffee,socio-ecological systems
coffee grower,other
coffee leaf rust,other
coffee management,other
coffee production,other
cognise model,other
cognitive ability capacity,complexity science
cognitive activity,complexity science
cognitive control,complexity science
cognitive model,complexity science
cognitive science,complexity science
cognitively construe,complexity science
coherence,complexity science
command line interface,other
column precipitable water,other
color palette,other
combat land degradation,other
combustion emission,other
commercial industrial water use,other
commercial public service,other
collaborative proposal,economics
collective welfare,economics
colombian power,economics
collaborative action,complexity science
collaborative approach,complexity science
collaborative capacity,complexity science
collaborative decision making,complexity science
collaborative effort,complexity science
collaborative expert workshop,complexity science
collaborative governance,complexity science
collaborative group,complexity science
collaborative knowledge production,complexity science
collaborative learning,complexity science
collaborative partnership,complexity science
collaborative planning,complexity science
collaborative policy,complexity science
collaborative process,complexity science
collaborative structure,complexity science
collapse,other
collapse state,complexity science
collar,complexity science
collective action,complexity science
collective awareness,complexity science
collective knowledge,complexity science
collective learning,complexity science
collective level,complexity science
collective memory,complexity science
collective problem solve,complexity science
collective response,complexity science
collective view,complexity science
collective violence,complexity science
collective water resource resiliency,complexity science
collier county,complexity science
colombia,complexity science
colorado river basin,complexity science
columbia plateau,complexity science
columbia river,complexity science
columbia river basin,complexity science
columbia river treaty,complexity science
comment,complexity science
community atmosphere model,earth system modeling
community base adaptation action plan capa,integrated assessment modeling
community base adaptation strategy,integrated assessment modeling
community base initiative,integrated assessment modeling
community base institution,integrated assessment modeling
community base natural resource management,integrated assessment modeling
community base organization,integrated assessment modeling
community base participatory research,integrated assessment modeling
community base research,integrated assessment modeling
community base response,integrated assessment modeling
commercial farm,economics
commercial industrial area,economics
commercial irrigate agriculture,economics
commercial livestock,economics
commercial marine fishery,economics
commercial sale,economics
commitment,economics
commodity,economics
commodity exchange,economics
commodity forecasting,economics
commodity price,economics
commodity shock,economics
common agriculture policy,economics
common bean,economics
common property,economics
commonwealth edison utility,economics
communication network,decision science
communication strategy,decision science
communication technique,decision science
community capacity,other
community capacity building,system of systems
community change,complexity science
community collaboration,complexity science
communal culture,socio-ecological systems
community,socio-ecological systems
community color,socio-ecological systems
community live,socio-ecological systems
community policymakers engagement,socio-ecological systems
community action,socio-ecological systems
community adaptation plan,socio-ecological systems
community barrier,socio-ecological systems
community base,socio-ecological systems
community building,socio-ecological systems
community bond,socio-ecological systems
commonality,other
community base approach,other
connectivity,system of systems
connectivity discipline,complexity science
consensus,decision science
consequence,other
conservation action,socio-ecological systems
conservation area,socio-ecological systems
conservation conflict,socio-ecological systems
conservation decision making,decision science
conservation decision,decision science
conservation framework,socio-ecological systems
conservation goal,socio-ecological systems
conservation management,socio-ecological systems
conservation manager,socio-ecological systems
conservation agricultural environment,socio-ecological systems
conservation natural resource,socio-ecological systems
conservation planning,socio-ecological systems
conservation policy,socio-ecological systems
conservation portfolio,decision science
conservation practice,socio-ecological systems
conservation practitioner,socio-ecological systems
conservation professional,socio-ecological systems
conservation reserve,socio-ecological systems
conservation sector,socio-ecological systems
conservation target,socio-ecological systems
conservation tool,socio-ecological systems
conservational land,socio-ecological systems
conserve natural resource,socio-ecological systems
consideration scale,decision science
consistency,decision science
consistency approach,decision science
consistent long term financing,economics
consistent storyline,other
consort action,other
constitutional responsibility,other
constrain optimization,other
constraint,other
constraint crop production,socio-ecological systems
construction,other
construction cost,economics
construction embankment,other
construction typology,other
constructivist ground theory approach,other
consultant,other
consume,economics
consumer,other
consumer behavior,economics
consumer choice,economics
consumer spending,economics
consumer support policy,socio-ecological systems
contamination,earth system modeling
continental scale,earth system modeling
continental warming,earth system modeling
control use water,other
control location,other
control land water resource,other
consumption,other
consumption loss,socio-ecological systems
consumption good service,economics
consumption reduction,integrated assessment modeling
consumptive use,socio-ecological systems
consumptive water use,socio-ecological systems
content analysis,other
context sensitive,complexity science
context specific adaptation strategy,other
context specific assessment,other
contextual analysis,other
contextual barrier,other
contextual difference,other
contextual dimension,other
contextual reason,other
contextualized,other
control belief,other
control policy design,other
control strategy,other
control experiment,other
control invasive specie,other
contract pricing,other
content,other
conterminous united state,other
context,other
context specific,other
contiguous united state,other
continuity purpose,other
continuous action space,other
continuous distribution,other
continuous improvement,other
contrarian,other
control,other
controversy study,other
convection permit regional model,earth system modeling
convective available potential energy,earth system modeling
cool roof,earth system modeling
cool heating service,earth system modeling
cooling building,earth system modeling
cool demand change,earth system modeling
cool energy demand,earth system modeling
cool energy use,earth system modeling
cool system,earth system modeling
cool technology,integrated assessment modeling
cool type,earth system modeling
cool water availability,earth system modeling
conventional measure,integrated assessment modeling
conventional method,integrated assessment modeling
convey,integrated assessment modeling
cool degree day,integrated assessment modeling
cool demand,integrated assessment modeling
cooperative management,integrated assessment modeling
cooperative river basin management,integrated assessment modeling
cooperative stability,integrated assessment modeling
cooperative structure,integrated assessment modeling
coordinate action,integrated assessment modeling
coordinate adaptation planning,decision science
coordination,integrated assessment modeling
coordination hub,integrated assessment modeling
coordination mechanism,integrated assessment modeling
coordination process,integrated assessment modeling
cop,integrated assessment modeling
cop facilitation team,integrated assessment modeling
cope,integrated assessment modeling
cop adaptation,integrated assessment modeling
cop adaptation option,integrated assessment modeling
cop adaptation strategy,integrated assessment modeling
cop capacity,integrated assessment modeling
cop mechanism,integrated assessment modeling
cop response,integrated assessment modeling
cop strategy,integrated assessment modeling
coproduce knowledge,complexity science
coproduced performance metric,integrated assessment modeling
coproducing service,system of systems
coproduction,other
coproduction science,socio-ecological systems
copula base approach,integrated assessment modeling
coral bed,economics
cooperation,decision science
"coral bleaching, coral reef, coral reef protection, coral reef restoration",other
"cordex, cordex africa project, cordex climate projection, cordex ea, cordex gcms",earth system modeling
"core business category, core climate change concept, core group, core interdependency, core science, core set term",socio-ecological systems
"corine land use, cork city, corn residue, corn yield, coromandel peninsula",other
"coronary heart disease, coronavirus",other
"corporate climate adaptation, corporate sustainability",economics
"corpus, correction, correctness",other
correlative modeling,earth system modeling
corruption,other
"corvi, cosmo clm",earth system modeling
"cost, cost benefit, cost beneficial, cost benefit, cost benefit analysis, cost benefit analysis, cost benefit assessment, cost benefit outcome, cost benefit risk",economics
"cost effective, cost effective adaptation, cost effective climate resilient measure, cost effective intervention, cost effective strategy, cost effectiveness, cost effectiveness analysis, cost efficiency",economics
cost forecasting,earth system modeling
cost infrastructure,earth system modeling
cost minimization,earth system modeling
cost adaptation,earth system modeling
cost future flood damage,earth system modeling
cost implementation,earth system modeling
cost production,earth system modeling
cost water demand,earth system modeling
cost optimization,earth system modeling
cost saving,earth system modeling
cost flood,earth system modeling
cost,economics
cost benefit,economics
cost transformation,earth system modeling
couple atmosphere wave ocean model,complexity science
couple climate crop model,complexity science
couple earth model,complexity science
couple human natural system,socio-ecological systems
couple human earth model framework,socio-ecological systems
couple hydrological climate model,complexity science
couple land atmosphere model,complexity science
couple land atmospheric simulation,complexity science
couple model intercomparison project phase,system of systems
couple modeling,complexity science
couple natural human system,complexity science
covariance function,complexity science
cost implication,integrated assessment modeling
cost consent ability,integrated assessment modeling
cost flood damage,integrated assessment modeling
costa rica,other
cotton,other
council approval,other
council europe,other
counterintuitive policy,decision science
country,socio-ecological systems
country capacity,socio-ecological systems
country drive,socio-ecological systems
country level,socio-ecological systems
country size,socio-ecological systems
country specific,socio-ecological systems
country specific strategy,socio-ecological systems
county level,socio-ecological systems
county scale analysis,socio-ecological systems
covenant mayor climate energy,other
crop model,earth system modeling
crop phenology,earth system modeling
crop planning,earth system modeling
crop planting date,earth system modeling
crop plant,other
crop portfolio,system of systems
crop price,economics
crop production,socio-ecological systems
crop production practice technology,decision science
crop production zone,socio-ecological systems
crop productivity,system of systems
crop profit,economics
crop profitability,economics
crop residue,earth system modeling
crop respiration,earth system modeling
crop response,earth system modeling
crop rotation,system of systems
crop rotation plan,complexity science
crop selection,decision science
crop simulation,complexity science
crop simulation model,complexity science
crop specialisation,integrated assessment modeling
crop specie,other
crop specific,other
crop specific adaptation planning,decision science
crop structure management,decision science
crop suitability,earth system modeling
crop suitability zone,earth system modeling
crop switch,decision science
crop system,earth system modeling
crop taxon,complexity science
crop type,other
crop variety,other
crop variety management,decision science
crop water balance model,socio-ecological systems
crop water demand,earth system modeling
crop water production function,complexity science
crop water productivity,complexity science
crop water requirement,socio-ecological systems
crop water use,socio-ecological systems
crop yield projection,integrated assessment modeling
crop yield volatility,decision science
cropland,earth system modeling
cropland area,earth system modeling
cropland expansion,earth system modeling
cropland irrigation,earth system modeling
cropland productivity,earth system modeling
crop calendar,earth system modeling
crop date change,earth system modeling
crop intensity,earth system modeling
crop pattern,earth system modeling
crop pattern change,earth system modeling
cropping practice,earth system modeling
crop season,other
crop timing,earth system modeling
crop zone,earth system modeling
crop producer,earth system modeling
cropwat model,earth system modeling
cross border climate impact,earth system modeling
cross border collaboration,earth system modeling
cross border effort,earth system modeling
cross border impact,earth system modeling
cross country analysis,earth system modeling
cross disciplinary linkage,complexity science
cross domain synergy,complexity science
cross entropy downscaling model,complexity science
cross fertilisation,complexity science
cross jurisdictional,complexity science
cross level risk,complexity science
cross model,complexity science
cross national boundary database,complexity science
cross scale,complexity science
cross scale challenge,complexity science
cross scale dynamic,complexity science
cross scale dependency,complexity science
cross sectional design,complexity science
cross sectional scaling,complexity science
cross sector,complexity science
cross sector coordinate planning,complexity science
cross sector coordination,complexity science
cross sector interaction,complexity science
cross sectoral,other
cross sectoral adaptation,other
cross sectoral analysis,other
cross sectoral assessment,other
cross sectoral collaboration,other
cross sectoral coordination,other
cross sectoral interaction,decision science
cross sectoral coordinate planning,decision science
cross sectoral decision making,decision science
integrated assessment modeling,integrated assessment modeling
economics,economics
decision science,decision science
system of systems,system of systems
other,integrated assessment modeling
cumulative reward,economics
currency volatility,economics
curtailment,economics
custom script,other
customer class scale,economics 
customer,economics
custom,other
cyanobacterial bloom,socio-ecological systems
cyberattacks,system of systems
cybersecurity failure,system of systems
cycle cultivar,socio-ecological systems
cyclone resilient development,socio-ecological systems
cyclone sidr,socio-ecological systems
cyclone strike,socio-ecological systems
cypripedium candidum,socio-ecological systems
cyprus,other
czech republic,other
diagram,other
daily reservoir operation,earth system modeling
daily reversal,earth system modeling
daily weather,earth system modeling
dairy cattle,socio-ecological systems
dairy farming,socio-ecological systems
dairy farm,socio-ecological systems
dairy gross margin,economics
dakar,other
dam attribute,earth system modeling
dam building,earth system modeling
dam construction,earth system modeling
dam development,earth system modeling
dam management,earth system modeling
dam manager,earth system modeling
dam storage,earth system modeling
damage assessment,integrated assessment modeling
damage case,integrated assessment modeling
damage cost analysis,economics
damage cost assessment,economics
damage cost,economics
damage function,integrated assessment modeling
damage modeling,integrated assessment modeling
damage model,integrated assessment modeling
damage rate,integrated assessment modeling
damage reduction,integrated assessment modeling
damage stage relationship,integrated assessment modeling
damage threshold,integrated assessment modeling
damage urban infrastructure,integrated assessment modeling
damagescanner model,integrated assessment modeling
damage storm event,integrated assessment modeling
dam,other
dangerous anthropogenic interference,other
danish case study,other
danish spring barley,other
danish water management,other
danube basin,other
data,other
data access,other
data accessibility,other
data aggregation,other
data analytics,other
data analytics compute,other
data information,other
data model,"earth system modeling, integrated assessment modeling"
data assimilation,other
data availability,other
data collection,other
data coverage,other
data deposition,other
data driven approach,other
data drive decision making,decision science
data driven reservoir simulation,earth system modeling
data envelopment analysis,economics
data exchange platform,other
data extraction,other
data gap,other
data integration,other
data limitation,other
data loss,other
data management,other
data mining,other
data need,other
data pack,other
data preparation,other
data processing,other
data product,other
data quality,other
data record size,other
data require,other
data requirement,other
data scale,other
data scarce context,other
data science,other
data science base simulation,other
data service,other
data set,other
data share,other
data source,other
data standardization,other
data statistic,other
data stewardship,other
data storage,other
data synthesis,other
data trace,other
data track,other
data treatment,other
data type,other
data validation,other
data visualization,other
data visualization tool,other
database,other
database management,other
datasets,other
globalise future,economics
debris cover,socio-ecological systems
debris flow risk,socio-ecological systems
debt crisis,economics
decadal century long timescales,other
decadal prediction,earth system modeling
decadal projection,earth system modeling
decadal time interval,other
decadal time scale,other
decadal timescales,other
decadal variability,earth system modeling
decarbonisation,economics
decarbonise economy,economics
decarbonization,economics
decarbonization challenge,economics
decarbonization rate,economics
decarbonization target,economics
decarbonize,economics
decarbonize energy,economics
decentralization,other
decentralize scheme,other
decentralize solution,other
deciders,decision science
decipher,other
decision,decision science
decision agent,decision science
decision analysis,decision science
decision analytic framework,decision science
decision analytical approach,decision science
decision analytical model,decision science
decision center desert city dcdc,other
decision context,decision science
delphi questionnaire,decision science
delphi technique,decision science
delta city,other
delta downscaling method,earth system modeling
delta programme,other
deltaic environment,other
delta,other
demand,economics
demand base rate,economics
demand control,economics
demand curve,economics
demand dynamic,economics
demand elasticity,economics
demand end,economics
demand flexibility,economics
demand growth,economics
demand level,economics
demand management,economics
demand projection,economics
demand reduction,economics
demand response,economics
demand satisfaction,economics
demand save measure,economics
demand scenario,economics
demand capacity,economics
demand measure,economics
demand type,economics
democracy,other
democratic republic congo,other
democratization science,other
demographic,other
demographic social characteristic,other
demographic change,other
demographic data,other
demographic group,other
demographic growth,other
demographic information,other
demographic outcome,other
demographic pressure,other
demographic rate,other
demographic sensitivity,other
demographic trend,other
demography model,other
demolition,other
dendrogeomorphology,earth system modeling
desertification,earth system modeling
desertified land,earth system modeling
deterioration modeling,earth system modeling
demonstration,integrated assessment modeling
demonstration application,integrated assessment modeling
department international development,integrated assessment modeling
department energy,integrated assessment modeling
deployment,integrated assessment modeling
deployment policy,integrated assessment modeling
design adaptation strategy,integrated assessment modeling
design parameterizing agent decision model,integrated assessment modeling
design flood frequency,integrated assessment modeling
design flood,integrated assessment modeling
design guideline,integrated assessment modeling
design optimization,integrated assessment modeling
design rainfall standard,integrated assessment modeling
design storm profile,integrated assessment modeling
designer,integrated assessment modeling
desirable plausible future,integrated assessment modeling
desire future,integrated assessment modeling
depth damage curve,economics
depth damage function,economics
desalinated water,economics
determinant,decision science
determinant assessment indicator,decision science
determine effectiveness,decision science
depopulated community,socio-ecological systems
desk review,socio-ecological systems
detail data,socio-ecological systems
detection,socio-ecological systems
detention,socio-ecological systems
detention basin,socio-ecological systems
detention pond,socio-ecological systems
deterministic,system of systems
deterministic climate change,system of systems
deterministic dynamic model,system of systems
deterministic equivalent model method,system of systems
deterministic knowledge,system of systems
detoxification,complexity science
deutscher wetterdienst,complexity science
devastate wildfire,complexity science
descriptive,other
descriptive analysis,other
descriptive epidemiology,other
descriptive statistic,other
diagnostic evaluation,earth system modeling
diagnostic tool,earth system modeling
dialogue,earth system modeling
dialogue interaction,earth system modeling
diffuse nutrient loss,earth system modeling
diffuse pollution,earth system modeling
diffusion ocean energy balance climate model,earth system modeling
digital connectivity,earth system modeling
digital divide,earth system modeling
digital elevation data,earth system modeling
digital elevation model,earth system modeling
digital power concentration,earth system modeling
digitalization,earth system modeling
dike infrastructure,earth system modeling
dike cost,earth system modeling
dice integrated assessment model,integrated assessment modeling
dike,economics
direct economic cost,economics
direct economic flood damage,economics
diminish return,economics
dilemma,decision science
dietary adaptation,socio-ecological systems
dietary weight relate risk factor,socio-ecological systems
dietary change,socio-ecological systems
dietary energy availability,socio-ecological systems
dietary health,socio-ecological systems
dietary intake,socio-ecological systems
dietary interview,socio-ecological systems
dietary shift,socio-ecological systems
different adaptation possibility,socio-ecological systems
different way know,socio-ecological systems
differential effect,complexity science
differential impact analysis,complexity science
differential impact,complexity science
difficulty anticipate climate change,complexity science
direct climate change effect,complexity science
direct damage estimation,complexity science
direct health risk,complexity science
direct heat exposure,complexity science
diarrhea,other
diarrhoeal disease,other
dice model,other
diet,other
direct human pressure,earth system modeling
direct impact model,earth system modeling
direct policy search,earth system modeling
direct seeding,earth system modeling
direct change,earth system modeling
direct link,earth system modeling
direction,earth system modeling
directional shift,earth system modeling
disaggregated capital framework,integrated assessment modeling
disaggregated impact,integrated assessment modeling
disaster adaptation,integrated assessment modeling
disaster impact,integrated assessment modeling
disaster management,integrated assessment modeling
disaster plan,integrated assessment modeling
disaster prediction,integrated assessment modeling
disaster preparedness,integrated assessment modeling
disaster prevention,integrated assessment modeling
disaster prevention facility,integrated assessment modeling
disaster resilience,integrated assessment modeling
disaster resilient coastal community,integrated assessment modeling
disaster response mechanism,integrated assessment modeling
disaster risk,integrated assessment modeling
disaster risk assessment,integrated assessment modeling
disaster risk management,integrated assessment modeling
disaster risk mapping,integrated assessment modeling
disaster risk reduction,integrated assessment modeling
disaster risk reduction drr,integrated assessment modeling
disaster risk reduction drr cycle,integrated assessment modeling
disaster risk reduction strategy,integrated assessment modeling
disaster trap,integrated assessment modeling
disaster trend,integrated assessment modeling
disaster vulnerability approach,integrated assessment modeling
discharge meter,economics
discharge peak,economics
discharge projection,economics
discount rate,economics
disciplinary silo,decision science
disciplinary specific lineage,decision science
discomfort hour,decision science
discourse,decision science
discretized dimension reduce representation,decision science
discussion,decision science
discussion support system,decision science
disability,socio-ecological systems
disabled,socio-ecological systems
disadvantaged community,socio-ecological systems
disease management,socio-ecological systems
disease pattern,socio-ecological systems
disease prevention,socio-ecological systems
disease vector,earth system modeling
distribute hydro sedimentary model tetis,other
distribute computing,other
dispersal corridor,earth system modeling
dispersal distance,earth system modeling
dispersal function,earth system modeling
disruption service,earth system modeling
dissolve oxygen,earth system modeling
distant emission source,earth system modeling
distinguish characteristic,other
distribution grid,earth system modeling
distribution infrastructure,earth system modeling
disturbance regime,earth system modeling
diurnal profile,other
diva,other
disincentive,integrated assessment modeling
dislocation,integrated assessment modeling
disparate data,integrated assessment modeling
disparate data source,integrated assessment modeling
dispatch model,integrated assessment modeling
dispatchable power plant capacity,integrated assessment modeling
dispatch,integrated assessment modeling
disruption,integrated assessment modeling
dissemination,integrated assessment modeling
dissemination activity,integrated assessment modeling
disservice,integrated assessment modeling
distance urban center,integrated assessment modeling
distance road,integrated assessment modeling
distributional consequence,other
distributional effect,other
distributional impact,other
distributional issue,other
distributive justice,other
district chi minh city,other
district level,other
district level farm profitability,other
displaced population,economics
disturbance,other
diversification,complexity science
diversification employment,complexity science
diversified farmland,complexity science
diverse actor,complexity science
diverse knowledge,complexity science
diverse knowledge system,complexity science
diverse landscape,complexity science
diverse voice,complexity science
diverse worldviews,complexity science
disrupt nutrient cycle,complexity science
diversify funding,economics
diversion canal,system of systems
diversion dam,system of systems
diversion location,system of systems
diversion,system of systems
diversity,other
diversity flexibility,other
diversity inclusion,other
diversity past application,other
diversity sector,other
diversity study type,other
division labor,economics
diyala river basin,earth system modeling
diypw,other
dmdu metric,other
dna classification,other
document analysis,other
document sort,other
documentation,other
documentation process,other
doe,other
doe office science,other
domestic industrial water withdrawal,socio-ecological systems
domestic municipal consumption,socio-ecological systems
domestic budget,economics
domestic cereal supply,socio-ecological systems
domestic farmer,socio-ecological systems
domestic food flow,socio-ecological systems
domestic heating,socio-ecological systems
domestic policy,economics
domestic sector,economics
domestic transfer,economics
domestic water,socio-ecological systems
domestic water deficit,socio-ecological systems
domestic water supply,socio-ecological systems
dominant process control,other
donor country,economics
donor institution,economics
donor,economics
double crop,socio-ecological systems
double loop learning,other
doubled carbon dioxide,earth system modeling
douglas fir,earth system modeling
downscaled climate data,earth system modeling
downscaled climate model output,earth system modeling
downscaled climate model,earth system modeling
downscaled climate projection,earth system modeling
downscaled climate scenario,earth system modeling
downscaled climate simulation,earth system modeling
downscaled precipitation,earth system modeling
drought index map,earth system modeling
drought intensity,earth system modeling
drought magnitude,earth system modeling
drought model,earth system modeling
drought order,earth system modeling
drought prone,earth system modeling
drought resistant crop variety,earth system modeling
drought response,earth system modeling
drought risk,earth system modeling
drought risk analysis,earth system modeling
drought risk assessment,earth system modeling
drought risk management,earth system modeling
drought risk perception,complexity science
drought risk ratio,earth system modeling
drought risk resilience,earth system modeling
drought scenario,earth system modeling
drought severity,earth system modeling
drought stress,earth system modeling
drought tolerant crop cultivar,earth system modeling
dry bulb temperature,earth system modeling
dry climate,earth system modeling
dry condition,earth system modeling
dry day,earth system modeling
dry deposition,earth system modeling
dry event,earth system modeling
dry heat,earth system modeling
dry proofing,earth system modeling
drought induce mortality,complexity science
drought management,complexity science
drought management approach,complexity science
drought management plan,complexity science
drought management strategy,complexity science
drought mitigation,complexity science
drought mitigation plan,complexity science
drought resilient,complexity science
drought resistant crop,complexity science
drought resistant specie,complexity science
drought risk assessment early warning,complexity science
drought risk dry,complexity science
drought task force,complexity science
drought tolerant crop,complexity science
drought tolerant germplasm,complexity science
drought tolerant line,complexity science
dry hot hazard,complexity science
dry rainy season irrigate agriculture,complexity science
dry area,complexity science
dry region,earth system modeling
dry spell,earth system modeling
dry year,earth system modeling
dryer,earth system modeling
dry trend,earth system modeling
dryland crop,earth system modeling
dryland farming,earth system modeling
dryland farm system,earth system modeling
dssat,earth system modeling
dssat csm software,earth system modeling
dual indicator,earth system modeling
dual modelling,earth system modeling
dynamic ice sheet melting,earth system modeling
dual mode control theory,other
dynamic adaptation,socio-ecological systems
dynamic adaptive behavior,decision science
dynamic adaptive pathway plan (dapp),decision science
dynamic adaptive planning,decision science
dynamic adaptive policy,decision science
dynamic adaptive policy pathway (dapp),decision science
dynamic assessment,integrated assessment modeling
dynamic balance sheet,complexity science
dynamic behavior,complexity science
dynamic computable general equilibrium model,economics
dynamic econometric model,economics
dynamic economic model,economics
dynamic economy wide model,economics
dynamic ecosystem,socio-ecological systems
dynamic energy performance,socio-ecological systems
dynamic energy supply,socio-ecological systems
dynamic evaluation,economics
dynamic feedback,economics
dynamic global vegetative model,socio-ecological systems
dynamic interdependency,system of systems
dynamic nonlinear optimization,complexity science
